,Ratio of delays with adaptation over delays without adaptation,,,,,
Tract ID,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
6059099603,1.000,1.000,0.998,0.988,0.481,0.017
6059110007,1.000,1.000,1.000,0.986,0.481,0.017
6059110008,1.000,1.000,0.995,0.983,0.479,0.015
6059110012,1.000,1.000,0.998,0.988,0.485,0.020
6067003300,0.000,0.000,0.000,0.000,0.000,0.000
6067003400,0.000,0.000,0.000,0.000,0.000,0.000
6067003800,0.000,0.000,0.000,0.000,0.000,0.000
6067003900,0.000,0.000,0.000,0.000,0.000,0.000
6067004001,0.000,0.000,0.000,0.000,0.000,0.000
6067004004,0.000,0.000,0.000,0.000,0.000,0.000
6067004005,0.000,0.000,0.000,0.000,0.000,0.000
6067004006,0.000,0.000,0.000,0.000,0.000,0.000
6067004008,0.000,0.000,0.000,0.000,0.000,0.000
6067004009,0.000,0.000,0.000,0.000,0.000,0.000
6067004010,0.000,0.000,0.000,0.000,0.000,0.000
6067004011,0.000,0.000,0.000,0.000,0.000,0.000
6067004012,0.000,0.000,0.000,0.000,0.000,0.000
6067004100,0.000,0.000,0.000,0.000,0.000,0.000
6067004201,0.000,0.000,0.000,0.000,0.000,0.000
6067004202,0.000,0.000,0.000,0.000,0.000,0.000
6067004203,0.000,0.000,0.000,0.000,0.000,0.000
6067004300,0.000,0.000,0.000,0.000,0.000,0.000
6067007004,0.000,0.000,0.000,0.000,0.000,0.000
6067007011,0.000,0.000,0.000,0.000,0.000,0.000
6067007012,0.000,0.000,0.000,0.000,0.000,0.000
6067007013,0.000,0.000,0.000,0.000,0.000,0.000
6067007015,0.000,0.000,0.000,0.000,0.000,0.000
6067007016,0.000,0.000,0.000,0.000,0.000,0.000
6067007017,0.000,0.000,0.000,0.000,0.000,0.000
6067007018,0.000,0.000,0.000,0.000,0.000,0.000
6067007019,0.000,0.000,0.000,0.000,0.000,0.000
6067007020,0.000,0.000,0.000,0.000,0.000,0.000
6067007103,0.000,0.000,0.000,0.000,0.000,0.000
6067007104,0.000,0.000,0.000,0.000,0.000,0.000
6067007105,0.000,0.000,0.000,0.000,0.000,0.000
6067007106,0.000,0.000,0.000,0.000,0.000,0.000
6067007107,0.000,0.000,0.000,0.000,0.000,0.000
6067009501,0.000,0.000,0.000,0.000,0.000,0.000
6067009601,0.000,0.000,0.000,0.000,0.000,0.000
6067009618,0.000,0.000,0.000,0.000,0.000,0.000
6067009619,0.000,0.000,0.000,0.000,0.000,0.000
6067009622,0.000,0.000,0.000,0.000,0.000,0.000
6067009635,0.000,0.000,0.000,0.000,0.000,0.000
6067009638,0.000,0.000,0.000,0.000,0.000,0.000
6067009800,0.000,0.000,0.000,0.000,0.000,0.000
6067009900,0.000,0.000,0.000,0.000,0.000,0.000
6073005000,1.000,1.000,1.000,0.941,0.477,0.127
6073005100,1.000,1.000,0.996,0.913,0.449,0.108
6073005400,1.000,1.000,0.996,0.915,0.481,0.130
6073005800,1.000,1.000,0.997,0.946,0.672,0.226
6073006200,1.000,0.998,0.980,0.961,0.843,0.301
6073006300,1.000,0.998,0.980,0.961,0.845,0.303
6073006500,1.000,0.998,0.980,0.961,0.844,0.301
6073006600,1.000,0.998,0.979,0.959,0.856,0.309
6073006801,1.000,0.998,0.979,0.960,0.854,0.308
6073006802,1.000,0.998,0.979,0.960,0.854,0.308
6073007100,1.000,0.998,0.979,0.961,0.867,0.314
6073007301,1.000,0.998,0.979,0.959,0.853,0.305
6073007501,1.000,0.998,0.979,0.960,0.854,0.308
6073007502,1.000,0.998,0.979,0.959,0.853,0.305
6073007600,1.000,0.998,0.980,0.961,0.847,0.304
6073007701,1.000,0.998,0.979,0.959,0.859,0.308
6073007800,1.000,0.998,0.978,0.959,0.859,0.309
6073007905,1.000,0.998,0.978,0.959,0.863,0.311
6073007910,1.000,0.998,0.978,0.959,0.863,0.311
6073008003,1.000,0.998,0.978,0.961,0.870,0.315
6073008006,1.000,0.998,0.977,0.963,0.893,0.326
6073008200,1.000,0.998,0.976,0.969,0.910,0.330
6073008312,1.000,1.000,1.000,0.672,0.061,0.000
6073008324,1.000,1.000,1.000,0.627,0.001,0.000
6073008327,1.000,1.000,1.000,0.666,0.027,0.000
6073008339,1.000,1.000,1.000,0.767,0.091,0.003
6073008902,1.000,0.998,0.980,0.961,0.844,0.301
6073009902,1.000,0.998,0.980,0.961,0.843,0.301
6073010103,1.000,1.000,1.000,0.921,0.370,0.042
6073010107,1.000,1.000,1.000,0.914,0.320,0.000
6073010109,1.000,1.000,1.000,0.915,0.319,0.000
