Census Block,25 cm,50 cm,75 cm,100 cm,125 cm,150 cm
60411241002,NA,NA,NA,NA,NA,NA
60411241003,NA,NA,NA,NA,NA,NA
60411242002,NA,NA,NA,NA,NA,NA
60411242003,NA,NA,NA,NA,NA,NA
60411242004,NA,NA,NA,NA,NA,NA
60411250001,NA,NA,NA,NA,NA,NA
60411262002,NA,NA,1%,0%,0%,10%
60411281003,NA,NA,NA,NA,NA,NA
60411282003,NA,NA,NA,NA,0%,0%
60411302012,NA,NA,NA,NA,NA,NA
60411302021,NA,NA,NA,NA,NA,18%
60411302022,NA,NA,NA,NA,NA,NA
60411311001,100%,100%,100%,100%,100%,100%
60411321001,NA,NA,NA,100%,100%,100%
60411321002,100%,100%,100%,100%,100%,100%
60411322002,100%,100%,100%,100%,100%,100%
60411322003,100%,100%,100%,100%,100%,100%
60411330001,NA,100%,100%,100%,100%,100%
60411330003,100%,100%,100%,100%,100%,100%
60411330004,NA,NA,51%,56%,73%,68%
60450102003,100%,100%,100%,100%,100%,100%
60450103001,100%,100%,100%,100%,100%,100%
60450103002,100%,100%,100%,100%,100%,100%
60450103003,100%,100%,100%,100%,100%,100%
60450104001,100%,100%,100%,100%,100%,100%
60450104002,NA,NA,NA,NA,NA,100%
60450105004,100%,100%,100%,100%,100%,100%
60450110011,100%,100%,100%,100%,100%,100%
60450110022,NA,100%,100%,100%,100%,100%
60450110023,NA,NA,NA,100%,100%,100%
60450110024,NA,NA,NA,NA,100%,100%
60450110025,100%,100%,100%,100%,100%,100%
60450111021,100%,100%,100%,100%,100%,100%
60450111022,NA,NA,NA,100%,100%,100%
60450111023,NA,100%,100%,100%,100%,100%
60530101012,100%,100%,100%,100%,100%,100%
60530102021,100%,100%,100%,100%,100%,100%
60530102022,NA,76%,82%,86%,85%,87%
60530103061,100%,100%,100%,100%,100%,100%
60530104001,100%,NA,NA,2%,2%,19%
60530104004,NA,NA,NA,NA,NA,42%
60530105041,NA,100%,100%,100%,100%,100%
60530114002,100%,100%,100%,100%,100%,100%
60530115021,100%,100%,100%,100%,100%,100%
60530116041,NA,NA,100%,100%,100%,100%
60530117003,NA,NA,NA,NA,NA,5%
60530118022,NA,100%,100%,100%,100%,100%
60530119002,NA,NA,NA,NA,NA,NA
60530119004,100%,100%,100%,99%,81%,78%
60530124011,NA,NA,NA,NA,NA,NA
60530124022,NA,NA,NA,NA,NA,NA
60530124023,NA,NA,NA,NA,NA,NA
60530125022,NA,NA,NA,NA,NA,NA
60530127002,NA,NA,NA,NA,NA,NA
60530130002,NA,NA,7%,5%,3%,12%
60530130003,NA,NA,NA,NA,NA,NA
60530133002,NA,NA,100%,100%,100%,100%
60530140001,100%,100%,100%,100%,100%,100%
60530141071,NA,NA,NA,NA,100%,100%
60530143011,NA,NA,NA,NA,NA,NA
60530143012,98%,79%,86%,93%,98%,98%
60530143021,100%,100%,100%,100%,100%,100%
60530146012,100%,100%,100%,100%,100%,100%
60530146013,100%,100%,100%,100%,100%,100%
60530147001,100%,100%,100%,100%,100%,100%
60530147002,NA,NA,100%,100%,100%,100%
60530147004,100%,100%,100%,100%,100%,100%
60552002022,NA,NA,NA,NA,NA,NA
60552002023,NA,NA,NA,NA,NA,NA
60552002031,NA,NA,NA,NA,NA,100%
60552002032,NA,NA,NA,19%,69%,71%
60552003011,NA,NA,NA,19%,45%,43%
60552003012,NA,NA,NA,NA,NA,NA
60552008022,NA,NA,NA,100%,100%,100%
60552008023,NA,NA,12%,19%,19%,21%
60552009001,93%,97%,98%,98%,98%,98%
60552010051,NA,NA,NA,40%,53%,55%
60552010061,NA,NA,NA,NA,33%,33%
60552010072,NA,NA,NA,NA,100%,100%
60552011022,91%,96%,98%,98%,99%,99%
60590421034,NA,NA,NA,NA,NA,NA
60590421062,NA,NA,NA,NA,NA,NA
60590421081,NA,NA,NA,NA,NA,NA
60590422011,NA,NA,NA,NA,NA,NA
60590422012,NA,NA,NA,NA,NA,NA
60590422015,NA,NA,NA,NA,NA,NA
60590423101,NA,NA,NA,NA,NA,NA
60590423131,NA,NA,NA,NA,NA,NA
60590626042,NA,NA,NA,NA,NA,NA
60590626051,NA,NA,NA,NA,NA,NA
60590626102,NA,NA,3%,4%,2%,2%
60590626143,NA,NA,NA,NA,NA,NA
60590626194,NA,NA,NA,NA,NA,NA
60590626324,NA,NA,NA,NA,NA,NA
60590627021,NA,NA,NA,NA,NA,NA
60590627025,NA,NA,NA,NA,NA,NA
60590628001,NA,NA,NA,NA,NA,NA
60590628002,NA,NA,NA,NA,NA,NA
60590628003,NA,NA,NA,NA,NA,NA
60590628004,NA,NA,NA,NA,NA,NA
